yy,gear,flag,lond,latd,alb_mt,alb_no,bet_mt,bet_no,skj_mt,skj_no,yft_mt,yft_no
1951,L,JP,162.50,7.50,0.693,53,43.905,1414,0.286,64,61.751,2435
1951,L,JP,162.50,12.50,0.170,13,0.248,8,0.018,4,2.942,116
1951,L,JP,162.50,22.50,0.052,4,0.652,21,0.036,8,0.431,17
1951,L,JP,167.50,2.50,17.056,1305,223.187,7188,2.957,663,395.438,15593
1951,L,JP,167.50,7.50,3.477,266,99.329,3199,1.057,237,151.297,5966
1951,L,JP,167.50,12.50,0.052,4,1.335,43,0,0,1.014,40
1951,L,JP,172.50,7.50,3.124,239,182.791,5887,1.775,398,246.854,9734
1951,L,JP,172.50,12.50,0.131,10,7.390,238,0.089,20,4.489,177
1951,L,JP,172.50,27.50,0.157,12,0.683,22,0,0,0.481,19
1951,L,JP,177.50,7.50,2.313,177,210.208,6770,2.609,585,109.834,4331
1951,L,JP,177.50,12.50,0.274,21,24.250,781,0,0,13.188,520
1951,P,JP,117.50,22.50,0,0,0.192,0,31.411,0,0,0
1951,P,JP,122.50,22.50,0,0,0.575,0,457.817,0,28.329,0
1951,P,JP,122.50,27.50,0,0,0,0,1.156,0,0,0
1951,P,JP,127.50,22.50,0,0,0,0,342.784,0,10.326,0
1951,P,JP,127.50,27.50,0,0,0,0,327.151,0,17.738,0
1951,P,JP,127.50,32.50,0,0,0,0,160.989,0,2.648,0
1951,P,JP,132.50,22.50,0,0,0.422,0,206.813,0,4.236,0
1951,P,JP,132.50,27.50,0,0,3.335,0,359.783,0,1.589,0
1951,P,JP,132.50,32.50,0,0,0.575,0,181.860,0,3.971,0
1951,P,JP,137.50,22.50,0,0,0.115,0,361.890,0,11.517,0
1951,P,JP,137.50,27.50,0,0,4.026,0,609.015,0,7.544,0
1951,P,JP,137.50,32.50,0,0,24.103,0,667.688,0,37.724,0
1951,P,JP,137.50,37.50,0,0,0,0,4.759,0,0,0
1951,P,JP,142.50,22.50,0,0,3.296,0,2266.303,0,41.831,0
1951,P,JP,142.50,27.50,0,0,65.482,0,1074.450,0,46.991,0
1951,P,JP,142.50,32.50,0,0,42.186,0,2176.829,0,24.752,0
1951,P,JP,142.50,37.50,0,0,3.103,0,308.587,0,1.324,0
1951,P,JP,142.50,42.50,0,0,0,0,6.187,0,0,0
1951,P,JP,147.50,22.50,0,0,0.996,0,2877.558,0,36.668,0
1951,P,JP,147.50,27.50,0,0,18.545,0,258.346,0,7.808,0
1951,P,JP,147.50,32.50,0,0,88.971,0,3363.451,0,126.679,0
1951,P,JP,147.50,37.50,0,0,42.873,0,9094.354,0,5.956,0
1951,P,JP,147.50,42.50,0,0,0,0,1910.935,0,0,0
1951,P,JP,152.50,22.50,0,0,4.100,0,2076.756,0,16.546,0
1951,P,JP,152.50,27.50,0,0,9.579,0,81.381,0,8.604,0
1951,P,JP,152.50,32.50,0,0,158.670,0,5056.353,0,114.899,0
1951,P,JP,152.50,37.50,0,0,24.368,0,16950.142,0,161.758,0
1951,P,JP,152.50,42.50,0,0,1.801,0,15502.254,0,1.456,0
1951,P,JP,152.50,47.50,0,0,0,0,4.895,0,0,0
1951,P,JP,157.50,22.50,0,0,0,0,1582.567,0,9.266,0
1951,P,JP,157.50,27.50,0,0,35.788,0,113.197,0,4.500,0
1951,P,JP,157.50,32.50,0,0,133.531,0,5943.969,0,72.673,0
1951,P,JP,157.50,37.50,0,0,11.188,0,10530.818,0,64.333,0
1951,P,JP,157.50,42.50,0,0,0.307,0,7860.618,0,0,0
1951,P,JP,157.50,47.50,0,0,0,0,2.040,0,0,0
1951,P,JP,162.50,22.50,0,0,0,0,189.136,0,12.311,0
1951,P,JP,162.50,27.50,0,0,5.402,0,99.531,0,1.588,0
1951,P,JP,162.50,32.50,0,0,45.443,0,869.058,0,14.428,0
1951,P,JP,162.50,37.50,0,0,0.038,0,1660.276,0,0,0
1951,P,JP,162.50,42.50,0,0,0,0,640.967,0,0,0
1951,Z,JP,137.50,32.50,0,0,547.584,0,874.092,0,468.924,0
1951,Z,JP,142.50,32.50,0,0,547.500,0,873.900,0,468.900,0
1952,L,JP,112.50,7.50,0,0,0,0,0,0,0.004,0
1952,L,JP,112.50,12.50,0,0,0,0,0,0,0.195,6
1952,L,JP,112.50,17.50,0,0,0,0,0,0,0.003,0
1952,L,JP,117.50,2.50,0,0,1.147,28,0,0,7.872,241
1952,L,JP,117.50,7.50,0,0,14.466,353,0,0,46.121,1412
1952,L,JP,117.50,12.50,0,0,18.073,441,0,0,132.250,3453
1952,L,JP,117.50,17.50,0,0,0.861,21,0,0,5.999,157
1952,L,JP,122.50,2.50,0,0,17.746,433,0.227,51,107.356,3772
1952,L,JP,122.50,7.50,0,0,0.164,4,0,0,1.565,55
1952,L,JP,122.50,12.50,0,0,0.656,16,0,0,3.747,151
1952,L,JP,122.50,17.50,0.140,10,4.877,119,0,0,8.115,327
